GEOID20,Tot_2020_acstot,Wh_2020_acstot,His_2020_acstot,BlC_2020_acstot,NatC_2020_acstot,AsnC_2020_acstot,PacC_2020_acstot,Tot_2020_cvap,Wh_2020_cvap,His_2020_cvap,BlC_2020_cvap,NatC_2020_cvap,AsnC_2020_cvap,PacC_2020_cvap,Tot_2020_tot,Wh_2020_tot,His_2020_tot,BlC_2020_tot,NatC_2020_tot,AsnC_2020_tot,PacC_2020_tot,Tot_2020_vap,Wh_2020_vap,His_2020_vap,BlC_2020_vap,NatC_2020_vap,AsnC_2020_vap,PacC_2020_vap,Tot_2020_nhvap,Wh_2020_nhvap,His_2020_nhvap,Bl_2020_nhvap,Asn_2020_nhvap,Nat_2020_nhvap,Pac_2020_nhvap,OthAl_2020_nhvap,Mix_2020_nhvap
72013027.27,1352,0,1316,18,0,0,0,1167,37,1128,0,0,0,0,1335,11,1322,152,10,2,1,1200,11,1187,138,8,2,0,1200,11,1187,1,0,0,0,1,0
720130027.6,373,0,373,32,0,0,0,275,0,275,0,0,0,0,794,6,788,110,25,0,0,657,6,651,93,16,0,0,657,6,651,0,0,0,0,0,0
72013027.10,601,0,583,8,0,0,0,517,18,501,0,0,0,0,600,8,592,106,9,0,0,515,8,507,87,8,0,0,515,8,507,0,0,0,0,0,0
72013027.18,4727,24,4703,180,2,40,0,4341,25,4316,0,0,0,0,5094,17,5064,726,117,6,4,4189,17,4160,588,98,5,4,4189,17,4160,5,1,0,0,6,0
72013027.20,957,0,956,41,0,1,0,919,1,919,0,0,0,0,1198,2,1194,180,26,3,1,1007,2,1003,151,11,3,1,1007,2,1003,0,2,0,0,0,0
72013027.23,4787,41,4747,51,0,7,0,3827,39,3787,0,0,0,0,5896,21,5869,840,99,9,2,4968,19,4944,704,82,7,2,4968,19,4944,5,0,0,0,0,0
720130027.9,3473,0,3473,71,24,69,0,2908,0,2908,0,0,0,0,3419,9,3406,496,76,3,6,2877,9,2864,430,71,3,5,2877,9,2864,1,2,0,0,1,0
720150080.7,1727,20,1707,800,0,0,0,1473,0,1473,0,0,0,0,1178,0,1170,285,14,5,3,1011,0,1004,250,9,4,3,1011,0,1004,3,1,0,0,1,2
720150080.6,1302,0,1302,363,0,0,0,1083,0,1083,0,0,0,0,1158,0,1149,293,9,5,0,1019,0,1010,268,9,5,0,1019,0,1010,3,2,0,0,0,4
720150080.1,1617,7,1609,427,0,0,0,1395,8,1387,0,0,0,0,1262,8,1246,281,14,8,1,1074,7,1060,253,12,8,1,1074,7,1060,3,1,0,0,3,0
720150080.5,5747,0,5747,1245,0,0,0,4261,0,4261,0,0,0,0,5292,22,5254,1616,99,17,0,4157,18,4123,1296,82,17,0,4157,18,4123,6,0,0,0,9,1
720150080.2,2986,0,2986,835,0,0,0,2239,0,2239,0,0,0,0,2655,6,2643,669,76,13,4,2110,6,2099,556,60,9,4,2110,6,2099,2,1,0,0,2,0
720150080.4,761,0,761,110,0,38,0,581,0,581,0,0,0,0,1640,5,1630,375,30,6,0,1363,5,1353,336,23,6,0,1363,5,1353,2,0,0,0,1,2
720150080.3,3362,7,3356,1226,0,0,0,2798,7,2791,0,0,0,0,2658,28,2616,566,52,14,2,2234,20,2203,481,38,12,2,2234,20,2203,7,1,1,0,2,0
72015ZZZZZZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72017ZZZZZZ,8,0,7,1,0,0,0,6,0,6,0,0,0,0,10,0,10,3,2,0,0,6,0,6,2,2,0,0,6,0,6,0,0,0,0,0,0
720170025.3,1836,0,1786,206,0,1,0,1545,30,1515,0,0,0,0,2289,18,2269,323,49,1,1,1915,17,1896,268,43,1,0,1915,17,1896,0,0,0,0,2,0
720170025.4,2222,2,2221,40,0,0,0,1946,3,1942,0,0,0,0,2077,2,2071,277,38,3,3,1794,1,1790,248,29,1,3,1794,1,1790,0,0,2,0,1,0
720170025.2,3786,1,3785,318,0,41,0,2675,0,2675,0,0,0,0,3216,16,3193,543,89,6,2,2457,12,2439,443,69,6,2,2457,12,2439,2,0,3,0,0,1
720170025.5,1859,20,1840,50,0,11,0,1658,11,1650,0,0,0,0,1909,3,1902,348,56,1,4,1595,3,1588,288,45,0,2,1595,3,1588,0,0,4,0,0,0
720170025.6,2890,5,2884,68,0,31,0,2333,5,2330,0,0,0,0,2818,4,2813,356,37,4,1,2235,4,2231,298,27,3,1,2235,4,2231,0,0,0,0,0,0
720170025.7,4425,16,4408,132,0,27,0,3746,15,3732,0,0,0,0,4144,14,4125,575,124,9,4,3400,9,3387,483,98,8,2,3400,9,3387,0,0,0,0,2,2
720170025.8,2805,0,2804,17,0,0,0,2212,0,2212,0,0,0,0,2240,1,2231,272,62,4,4,1785,1,1779,219,47,0,0,1785,1,1779,0,0,0,0,2,3
720170025.1,4082,46,4037,148,0,43,0,3084,45,3038,0,0,0,0,3954,13,3928,515,88,9,3,3226,9,3205,414,75,9,3,3226,9,3205,6,1,3,0,0,2
720190071.2,2864,8,2857,498,0,14,0,2220,0,2220,0,0,0,0,2849,6,2839,235,82,5,5,2280,5,2271,205,64,5,4,2280,5,2271,2,0,0,1,1,0
720190070.9,883,0,882,147,0,1,0,613,0,613,0,0,0,0,718,4,713,76,24,2,2,529,4,525,64,17,1,1,529,4,525,0,0,0,0,0,0
