GEOID20,Tot_2018_gov,D_2018_gov,R_2018_gov,Tot_2018_sen,D_2018_sen,R_2018_sen,Tot_2018_ag,D_2018_ag,R_2018_ag,Tot_2020_pres,D_2020_pres,R_2020_pres,Tot_2016_sen,D_2016_sen,R_2016_sen,Tot_2016_pres,D_2016_pres,R_2016_pres
0901111-039,1074,546,455,1061,664,382,1053,565,477,1391,796,563,1212,812,364,1248,645,538
0901111-042,1030,567,391,1023,653,334,1012,567,422,1531,942,545,1264,892,324,1321,756,486
0901111-023,1074,503,517,1059,610,429,1040,499,527,1428,822,567,1205,740,434,1225,591,552
0901111-028,1096,453,572,1067,592,462,1064,460,588,1549,750,747,1254,744,461,1284,554,665
0900909-015,2018,912,1029,1979,1148,817,1956,948,989,2578,1368,1186,2146,1415,695,2202,1073,1051
0900909-045,2097,1425,619,2079,1584,475,2047,1459,565,2588,1962,606,2373,1849,475,2458,1744,628
0900909-181,1708,958,691,1659,1103,533,1634,994,620,2277,1437,818,2036,1478,496,2167,1217,847
0900909-029,1774,620,1113,1716,782,923,1693,640,1039,2586,1097,1467,2130,1257,841,2232,897,1272
0900909-030,168,55,108,163,68,94,159,58,101,199,71,127,171,97,72,177,60,112
0900909-031,14,4,10,14,6,8,15,5,10,18,6,12,15,9,6,16,6,10
0900909-173,1352,703,590,1300,775,505,1277,708,557,1782,1045,716,1681,1103,536,1756,986,712
0900909-130,3531,1281,2144,3444,1672,1742,3389,1350,1999,4600,2074,2450,3984,2351,1556,4108,1699,2300
0900909-196,733,566,152,728,611,113,716,561,150,972,785,179,995,835,141,1049,837,184
0900909-197,1455,1040,375,1424,1129,289,1389,1040,338,1973,1518,438,1749,1480,243,1841,1397,397
0900909-062,1259,647,551,1236,786,427,1222,658,544,1666,1002,630,1457,1005,410,1484,842,553
0900909-174,696,261,417,674,316,356,669,254,413,909,421,480,758,410,338,791,308,457
0900909-150,749,256,468,736,346,385,726,279,440,934,424,499,813,438,358,830,333,466
0900909-022,1840,726,1033,1825,958,848,1805,791,1003,2262,1254,967,1897,1029,839,1910,875,936
0900909-028,2295,942,1277,2235,1190,1025,2213,996,1193,3115,1556,1510,2628,1665,914,2747,1206,1455
0900909-098,173,138,29,172,153,18,151,135,16,254,199,49,337,305,25,378,335,34
0900909-059,1281,641,582,1251,758,480,1240,654,571,1805,1065,711,1573,1037,489,1631,862,692
0900909-041,1823,1574,221,1783,1612,162,1765,1540,219,2477,2138,315,2142,1958,154,2220,1931,228
0900909-154,3085,1365,1599,2840,1505,1301,2909,1406,1462,4108,2217,1840,3606,2250,1253,3669,1806,1696
0900909-109,471,404,63,455,399,50,445,390,50,699,536,161,812,721,75,880,765,88
0900909-119,705,652,46,696,659,34,641,600,38,530,489,38,696,653,28,736,691,19
0900909-067,2475,822,1563,2424,1047,1354,2407,856,1527,3287,1493,1745,2766,1337,1386,2867,1097,1643
0900909-042,3007,2026,878,2983,2282,672,2935,2069,829,3642,2808,789,3233,2494,676,3264,2322,806
0900909-166,1009,690,299,986,727,246,970,680,284,1433,1015,404,1224,926,265,1319,923,363
0900909-026,2548,923,1522,2473,1193,1257,2452,965,1469,3365,1599,1728,2906,1758,1106,3005,1236,1674
