GEOID10,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_gov,Dem_2016_gov,Rep_2016_gov,Tot_2016_ltg,Dem_2016_ltg,Rep_2016_ltg,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres
100038-9,1584.1,740.3,752.8,1533.2,820.9,677.1,1527.1,878.9,648.2,1029,586,422
100035-23,1075.6,735.9,260.9,1055.8,720.5,286.6,1041.1,746.6,294.5,1072,735,314
1000311-21,815.6,457.2,307.5,777.6,471.6,272.8,750.5,479.0,271.5,924,570,339
1000314-21,143.8,85.8,49.3,135.6,85.0,44.4,132.9,89.1,43.7,208,119,84
100039-21,933.3,503.4,371.4,902.7,550.9,318.7,877.4,560.6,316.7,1013,687,311
100035-25,1057.0,597.5,399.8,1037.2,629.4,378.7,1032.9,648.9,384.0,907,555,341
100035-26,1288.0,943.0,286.0,1234.0,896.0,289.0,1217.0,901.0,316.0,1253,953,280
100035-27,1322.0,745.0,511.0,1282.0,783.0,464.0,1258.0,787.0,471.0,1361,916,435
100034-23,977.3,626.5,292.0,962.4,635.3,300.8,947.6,650.2,297.4,1052,705,321
100032-22,673.1,372.1,265.8,654.2,389.5,246.1,644.2,388.6,255.6,733,389,340
100038-23,976.6,548.1,375.6,958.9,563.5,371.8,942.9,568.9,374.0,1097,722,349
1000310-23,599.3,336.3,229.5,591.8,344.5,233.7,581.5,348.4,233.1,568,301,258
100036-24,920.6,648.6,225.0,873.3,631.7,214.4,849.0,633.7,215.2,936,740,188
100034-25,875.8,520.1,290.0,841.3,528.1,278.7,835.3,544.9,290.4,828,583,237
100039-25,564.2,308.0,225.7,546.0,323.9,200.6,536.0,328.5,207.5,431,302,114
100036-27,966.6,651.5,274.3,914.0,652.8,241.2,910.0,646.3,263.7,921,701,217
100038-1,155.0,107.0,38.0,152.0,108.0,37.0,152.0,111.0,41.0,150,109,40
1000313-2,456.7,436.4,10.7,402.6,380.2,13.1,394.8,327.2,67.6,535,527,8
100038-2,265.3,251.9,6.7,233.6,219.3,7.6,228.2,188.0,40.2,281,277,2
100038-22,564.8,331.3,201.5,551.4,342.5,186.4,533.3,332.2,201.1,671,441,218
1000312-22,741.2,434.7,264.5,723.6,449.5,244.6,699.7,435.8,263.9,699,469,221
100036-22,1576.0,755.0,732.0,1538.0,848.0,659.0,1508.0,809.0,699.0,1524,850,655
100038-25,575.3,307.5,228.7,563.9,335.8,205.2,556.0,349.6,206.4,578,364,199
100031-27,1153.0,707.0,381.0,1102.0,710.0,355.0,1093.0,739.0,354.0,1002,711,282
1000312-10,162.1,93.0,60.1,161.8,100.6,57.5,158.1,99.5,58.6,178,100,76
100036-20,887.7,456.4,386.8,880.3,484.2,379.4,869.2,489.8,379.4,888,533,347
1000313-4,402.0,234.0,144.0,390.0,249.0,125.0,381.0,259.0,122.0,503,366,127
100032-17,367.8,300.2,55.8,344.5,290.6,45.6,338.2,273.3,64.9,281,213,64
100037-19,871.2,454.9,363.0,839.6,514.7,299.0,817.7,526.9,290.8,935,631,288
100035-20,346.5,184.7,143.0,333.2,208.1,116.0,323.6,215.9,107.7,361,220,137
100038-27,1519.0,781.0,671.0,1446.0,823.0,593.0,1462.0,873.0,589.0,1322,794,510
100037-1,256.0,234.1,17.4,223.9,203.7,17.4,230.7,190.2,40.5,293,272,20
1000311-2,1080.0,1037.7,30.1,952.9,904.9,38.9,950.3,796.6,153.7,1078,1067,8
1000311-13,993.0,762.0,193.0,939.0,749.0,156.0,898.0,725.0,173.0,1051,875,156
1000310-2,905.9,675.3,196.8,838.5,677.2,142.5,820.6,630.6,190.0,1264,953,291
1000316-2,452.2,403.5,39.4,409.9,372.9,28.6,400.3,339.9,60.3,511,459,51
100037-3,478.5,427.0,41.7,433.8,394.7,30.2,423.6,359.8,63.9,502,479,22
100037-4,914.9,630.6,212.2,878.0,648.6,201.9,853.9,617.7,236.2,977,714,252
100037-6,1109.4,639.1,404.4,1100.3,659.1,404.5,1072.0,650.7,421.3,1181,739,429
100037-7,985.3,620.0,304.8,942.1,652.0,248.7,924.0,660.6,263.4,1016,692,313
1000312-12,1361.6,727.9,566.8,1335.6,788.5,527.5,1290.8,768.0,522.8,1329,825,482
100036-10,597.2,292.3,277.6,591.7,309.4,269.9,570.7,282.0,288.6,650,340,304
100037-13,91.8,53.9,32.8,86.5,57.0,25.7,83.9,57.2,26.7,138,104,33
100036-16,769.0,680.0,66.0,692.0,612.0,59.0,672.0,542.0,130.0,697,646,47
100032-5,690.2,506.5,148.3,651.1,496.5,132.8,641.2,487.8,153.3,640,527,107
100031-5,966.9,701.2,213.3,921.9,695.7,199.8,907.9,677.3,230.5,1042,836,198
1000318-4,60.8,54.1,4.9,54.1,47.8,5.3,53.8,43.8,10.0,59,49,9
100039-3,832.5,741.2,67.6,740.4,654.9,72.5,736.3,599.5,136.8,826,770,50
100038-4,17.6,13.7,2.7,16.8,13.1,3.2,16.3,13.1,3.2,20,18,2
1000312-3,67.7,52.5,10.4,64.6,50.2,12.1,62.7,50.3,12.4,58,53,5
100039-5,839.0,717.0,104.0,775.0,678.0,84.0,774.0,653.0,121.0,854,750,97
1000311-18,553.0,373.0,145.0,527.0,379.0,135.0,518.0,369.0,149.0,575,423,146
100038-7,748.4,421.7,291.0,730.5,437.1,270.8,698.5,418.1,280.3,785,475,295
100039-16,779.1,621.4,126.2,723.5,603.3,108.1,718.1,565.9,152.2,927,799,118
100038-18,589.9,404.9,153.4,564.5,409.2,140.9,556.8,396.6,160.2,654,474,176
100037-21,927.0,446.0,416.0,896.0,482.0,387.0,876.0,499.0,377.0,986,615,354
1000313-22,19.9,11.2,7.2,19.5,11.4,7.5,19.2,12.0,7.2,82,44,34
100034-24,1008.6,526.3,410.0,956.4,581.2,335.0,931.7,579.3,352.4,955,621,312
100038-21,947.7,505.9,381.0,911.0,539.4,334.8,869.5,534.0,335.5,955,664,275
100038-12,637.4,340.2,267.5,636.4,333.1,285.1,621.8,326.0,295.7,664,373,283
100038-13,526.6,341.8,152.8,499.3,366.7,112.8,480.3,354.9,125.4,503,416,77
