GEOID10,Tot_2018_gov,Dem_2018_gov,Rep_2018_gov,Tot_2018_sen,Dem_2018_sen,Rep_2018_sen,Tot_2018_ag,Dem_2018_ag,Rep_2018_ag,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres
0400906,507.0,80.0,423.0,501.0,86.0,412.0,488.0,70.0,418.0,574.0,61.0,451.0,558.0,66.0,442.0,573,46,524
0400909,1395.4,179.3,1186.1,1390.4,268.4,1065.0,1365.3,227.4,1136.9,1584.5,225.5,1243.0,1532.3,258.6,1125.3,1495,268,1207
0400910,184.4,18.8,164.5,183.4,27.8,148.7,181.4,22.8,158.6,187.3,21.8,157.6,182.4,25.8,129.8,194,35,158
0400912,56.8,13.0,41.8,56.8,15.2,38.4,55.5,17.3,38.2,56.4,16.4,38.7,53.8,22.8,28.2,40,13,25
0400913,100.4,7.9,92.6,100.4,9.6,90.0,97.8,10.5,87.4,104.8,11.4,91.7,99.6,14.8,78.6,118,14,102
0400911,578.0,424.0,120.0,583.0,509.0,57.0,573.0,497.0,73.0,690.0,605.0,42.0,683.0,503.0,133.0,732,576,148
0400901,604.0,164.0,417.0,604.0,227.0,351.0,589.0,204.0,384.0,683.0,205.0,428.0,673.0,217.0,394.0,684,253,428
0400919,712.0,102.3,583.9,716.0,152.9,530.3,693.2,133.1,557.1,828.2,117.2,653.4,800.4,169.8,541.2,795,219,569
0400903,817.0,244.0,556.0,819.0,308.0,468.0,812.0,303.0,508.0,954.0,312.0,576.0,943.0,311.0,567.0,515,138,373
0400917,136.8,30.5,104.3,137.8,35.4,98.4,135.8,36.4,99.4,153.5,36.4,107.3,145.7,35.4,100.4,124,43,79
0400918,759.0,127.0,613.7,755.0,171.7,568.7,745.8,149.8,592.9,852.8,120.5,647.6,834.4,141.7,645.4,684,125,551
040111,14.0,0.0,14.0,14.0,0.0,14.0,14.0,0.0,14.0,16.0,2.0,13.0,16.0,1.0,15.0,21,0,21
040112,33.0,1.0,32.0,33.0,4.0,29.0,33.0,1.0,32.0,28.0,1.0,25.0,27.0,1.0,25.0,40,7,33
040113,450.0,240.0,188.0,455.0,274.0,161.0,441.0,271.0,167.0,604.0,326.0,226.0,611.0,342.0,221.0,520,313,200
040114,348.0,143.0,193.0,346.0,185.0,148.0,337.0,171.0,165.0,418.0,192.0,204.0,407.0,190.0,183.0,404,201,200
040115,527.0,160.0,352.0,532.0,195.0,316.0,521.0,199.0,322.0,771.0,222.0,461.0,764.0,250.0,457.0,638,233,397
040117,462.0,116.0,329.0,465.0,164.0,277.0,443.0,139.0,303.0,528.0,152.0,330.0,528.0,176.0,297.0,468,169,292
040118,578.0,120.0,437.0,578.0,163.0,387.0,561.0,160.0,400.0,700.0,135.0,488.0,692.0,167.0,441.0,659,172,478
0401252,156.0,83.0,68.0,158.0,110.0,40.0,155.0,102.0,52.0,208.0,126.0,61.0,206.0,103.0,91.0,248,138,100
0401254,1081.0,162.0,896.0,1065.0,248.0,789.0,1052.0,217.0,832.0,1225.0,220.0,958.0,1185.0,238.0,857.0,1088,314,760
0401257,605.0,92.0,505.0,605.9,154.0,433.0,593.0,126.0,464.0,604.0,121.0,461.0,580.0,124.0,394.0,534,146,377
0401260,213.0,35.0,168.0,214.0,44.0,161.0,209.0,46.0,163.0,258.0,64.0,179.0,251.0,65.0,165.0,240,58,173
0401262,156.0,20.0,136.0,154.0,32.0,119.0,153.0,24.0,129.0,180.0,32.0,137.0,173.0,43.0,111.0,163,52,107
040116,148.0,52.0,92.0,148.0,57.0,84.0,148.0,58.0,90.0,235.0,62.0,145.0,231.0,62.0,145.0,163,70,91
