GEOID20,Tot_2020_sen,D_2020_sen,R_2020_sen,Tot_2020_gov,D_2020_gov,R_2020_gov,Tot_2020_ltg,D_2020_ltg,R_2020_ltg,Tot_2020_pres,D_2020_pres,R_2020_pres,Tot_2018_sen,D_2018_sen,R_2018_sen,Tot_2018_ag,D_2018_ag,R_2018_ag,Tot_2016_gov,D_2016_gov,R_2016_gov,Tot_2016_ltg,D_2016_ltg,R_2016_ltg,Tot_2016_pres,D_2016_pres,R_2016_pres
10001006-34,2356,1317,966,2361,1311,998,2325,1250,1075,2403,1317,1047,1756,931,784,1719,956,763,2046,987,1003,1996,1027,969,2094,961,1018
10005004-40,1536,462,1040,1541,477,1042,1510,468,1042,1572,432,1132,1100,325,762,1077,359,718,1419,521,876,1394,499,895,1459,311,1098
10001007-32,153,68,83,160,75,80,154,64,90,161,71,88,102,44,53,99,45,54,128,45,79,124,53,71,131,42,83
10001008-32,23,10,12,22,10,11,21,9,12,22,10,12,14,6,7,13,6,7,18,6,11,17,7,10,18,6,11
10001013-28,363,169,183,365,175,183,358,166,192,377,177,196,255,122,126,250,133,117,323,167,149,311,178,133,336,138,177
10001001-32,2134,1452,608,2156,1492,598,2103,1387,716,2237,1564,636,1405,983,389,1388,984,404,1712,1109,560,1678,1088,590,1803,1134,566
10001002-32,1369,820,486,1384,836,514,1373,794,579,1420,865,525,1000,591,380,977,609,368,1258,713,511,1229,745,484,1286,715,496
10001007-31,849,613,205,860,620,220,842,585,257,877,633,226,606,433,153,587,428,159,742,512,206,721,498,223,759,515,207
10001005-31,1258,850,369,1273,861,384,1250,834,416,1294,874,395,933,612,288,919,596,323,1166,746,396,1129,748,381,1181,723,374
10001003-31,2466,1602,796,2484,1605,828,2445,1528,917,2505,1602,868,1811,1136,643,1784,1105,679,2168,1276,846,2137,1303,834,2197,1247,834
10001001-34,207,115,87,208,108,95,206,104,102,209,112,90,172,89,81,170,90,80,193,92,97,190,104,86,199,92,92
10001005-34,869,404,444,868,408,448,858,383,475,874,394,464,668,286,367,660,300,360,832,302,510,805,388,417,823,288,474
10001006-32,166,141,17,172,144,21,167,130,37,178,157,16,106,92,11,105,93,12,162,134,24,159,114,45,169,143,19
10001003-33,1517,684,796,1522,687,809,1495,656,839,1554,688,842,1170,513,642,1154,556,598,1392,539,830,1338,618,720,1409,501,823
10001009-08,792,298,468,795,309,472,778,323,455,805,294,496,522,217,293,515,218,297,644,286,337,632,331,301,660,220,397
10001014-28,1392,851,501,1403,853,519,1382,830,552,1436,876,536,1020,640,359,995,627,368,1262,758,469,1219,749,470,1292,733,483
10001007-28,370,246,113,376,246,122,367,242,125,379,247,128,259,172,85,253,170,83,286,167,115,277,168,109,297,156,127
10005011-36,381,165,209,382,159,220,378,155,223,387,165,214,246,106,132,246,125,121,275,121,144,273,127,146,281,110,153
10005004-39,1216,648,527,1219,669,530,1191,634,557,1271,678,569,931,489,421,898,480,418,1086,599,455,1054,571,483,1153,543,557
10001002-31,1656,1123,495,1681,1123,526,1650,1061,589,1710,1147,532,1242,812,405,1220,787,433,1559,964,561,1539,956,583,1583,936,559
10001005-29,1223,361,829,1225,366,836,1210,383,827,1247,347,880,841,257,558,825,294,531,1122,389,706,1092,461,631,1150,280,809
10001004-29,400,165,222,401,170,222,394,164,230,407,168,231,284,125,154,280,131,149,337,142,189,329,158,171,341,127,202
10001001-31,262,109,145,265,112,148,260,109,151,268,111,151,187,81,102,183,85,98,223,93,125,216,103,113,227,84,133
10001007-29,1423,612,772,1425,609,790,1407,595,812,1447,592,836,1046,452,575,1037,473,564,1266,527,713,1231,568,663,1274,463,746
10001010-28,166,117,42,166,119,45,161,113,48,169,121,44,101,73,23,99,70,29,147,92,46,145,98,47,151,99,38
10001004-31,1147,784,333,1146,782,348,1123,722,401,1176,794,358,803,541,255,800,540,260,957,573,359,941,590,351,1000,606,325
10001012-28,285,185,88,286,190,87,282,175,107,297,197,91,190,125,56,185,124,61,254,163,80,245,160,85,263,166,82
10003009-06,1624,1138,436,1623,1130,462,1580,1096,484,1648,1133,493,1331,927,373,1313,927,386,1546,1036,473,1520,1019,501,1569,973,513
10003004-03,702,632,38,720,655,39,679,611,68,814,754,52,533,495,30,514,449,65,724,679,32,699,599,100,864,819,37
10003006-13,1371,866,454,1371,868,467,1341,861,480,1411,888,504,998,611,356,973,647,326,1286,797,434,1252,817,435,1320,733,507
10003005-13,1121,743,324,1121,733,333,1092,750,342,1176,774,374,756,510,208,731,511,220,980,650,285,950,645,305,1039,623,361
10003003-04,1408,1103,286,1403,1075,311,1368,1018,350,1404,1029,356,1133,843,262,1125,862,263,1271,905,349,1239,863,376,1267,822,380
10003004-10,1271,933,311,1275,950,305,1251,919,332,1314,961,342,1072,770,274,1068,782,286,1248,862,349,1218,834,384,1310,857,392
10003010-16,1100,770,295,1111,780,303,1085,772,313,1147,787,340,828,612,192,814,607,207,1005,748,231,978,703,275,1054,709,297
10003001-10,1463,899,534,1468,884,562,1441,865,576,1501,893,594,1155,718,409,1124,719,405,1370,797,537,1332,763,569,1423,753,606
