GEOID20,Tot_2016_sen,D_2016_sen,R_2016_sen,Tot_2016_pres,D_2016_pres,R_2016_pres,Tot_2018_ag,D_2018_ag,R_2018_ag,Tot_2018_gov,D_2018_gov,R_2018_gov
46102VTD-KY,491,372,117,497,433,40,510,484,28,537,485,26
46102VTD-MA,175,113,62,180,156,5,159,148,12,171,156,11
46102VTD-OG,429,332,93,430,365,28,411,374,34,418,381,30
46102VTD-P1,613,499,112,630,579,28,619,589,28,635,606,19
46102VTD-P3,466,373,88,469,411,26,480,445,24,483,445,26
46102VTD-PO,406,318,71,406,356,13,453,432,13,460,436,7
46102VTD-RF,97,72,22,97,68,9,115,97,11,115,100,8
461030VTD-6,457,123,330,455,135,271,411,171,243,425,181,238
46103VTD-10,552,101,438,554,91,433,498,122,351,506,131,350
46103VTD-12,83,0,76,85,0,76,72,2,64,72,19,45
46103VTD-14,66,2,56,66,0,51,47,7,33,51,9,33
46103VTD-15,378,46,338,391,55,309,338,105,226,353,98,245
46103VTD-17,213,15,190,217,15,186,205,28,156,207,27,162
46103VTD-18,281,79,205,286,66,193,215,87,129,223,90,125
46103VTDDG7,1355,288,1064,1377,296,960,1033,360,658,1077,388,658
46103VTD-24,994,202,796,997,216,709,869,276,598,893,297,578
46103VTD-F2,1536,346,1203,1592,336,1110,1304,455,852,1358,529,794
46103VTD-E1,85,16,69,87,18,64,73,21,52,75,22,51
46103VTD-K3,531,125,413,536,121,381,474,161,313,490,179,305
46103VTD1-4,936,251,682,934,266,602,831,334,498,875,379,477
46103VTD2-1,118,48,71,119,51,61,91,43,49,99,49,47
46103VTD2-4,2227,819,1415,2242,791,1191,1813,961,857,1892,1059,781
46103VTD3-4,2845,888,1954,2856,983,1634,2525,1194,1321,2606,1290,1281
46103VTD5-3,2141,671,1474,2148,716,1243,1839,805,1034,1911,906,984
46103VTD5-4,1556,663,896,1573,742,670,1391,850,532,1431,905,515
46103VTD5-5,354,109,247,351,114,215,349,155,195,358,165,190
46103VTDJS5,1281,322,959,1280,348,878,1171,406,770,1197,441,747
46103VTDN34,1081,269,815,1095,271,721,865,308,556,903,336,536
46103VTD4-3,902,288,614,904,302,547,757,363,394,783,386,387
46103VTD-23,1271,276,990,1280,339,854,1114,396,717,1145,411,719
46103VTD4-2,1248,458,786,1259,439,696,972,481,485,1012,493,485
46103VTD5-2,1771,618,1149,1784,640,952,1483,715,767,1546,780,736
46103VTD5-1,505,184,318,509,197,264,434,223,203,450,227,205
46103VTD-AW,2601,792,1809,2837,898,1830,1992,742,1250,2022,744,1253
46103VTD3-5,347,86,262,344,102,221,303,126,174,315,135,178
46103VTD-F1,1230,325,909,1249,319,808,842,325,519,881,369,490
46103VTD1-2,1898,551,1348,1903,588,1145,1622,721,899,1703,801,876
46103VTD2-5,194,90,103,203,86,90,169,100,69,177,103,66
46103VTD4-5,825,240,583,830,240,505,693,304,390,714,336,369
46103VTD1-1,1428,358,1069,1437,394,900,1267,494,772,1326,557,749
46103VTD1-3,2509,626,1887,2513,731,1618,2184,902,1276,2288,973,1284
46103VTD333,436,92,342,450,105,304,385,147,240,401,165,227
46103VTD4-1,418,148,267,423,147,227,376,176,201,392,193,183
46103VTD2-2,77,19,56,78,19,49,49,23,25,53,25,25
46103VTD4-4,989,435,553,993,402,464,831,468,359,863,499,342
46103VTD2-3,1345,400,943,1362,409,816,1164,502,657,1216,543,639
46103VTD3-2,3046,661,2382,3018,794,2027,2719,1014,1708,2811,1089,1691
46103VTD3-3,856,212,645,867,274,544,842,360,486,860,379,476
46103VTD3-1,684,206,473,685,234,377,585,263,321,615,301,299
461050VTD-2,102,7,87,102,7,83,80,7,69,83,22,65
461050VTD-4,56,6,46,56,6,47,51,14,37,51,10,41
461050VTD-5,142,18,112,145,11,118,107,10,93,110,11,92
461050VTD-6,121,24,103,121,3,107,103,24,81,105,32,67
461050VTD-7,131,0,129,131,0,127,107,3,86,108,11,78
461050VTD-8,67,0,64,67,0,58,47,10,38,51,12,38
461050VTD-9,80,3,76,80,1,76,70,3,53,76,16,50
46105VTD-12,316,43,272,316,37,265,284,78,203,292,94,199
46105VTD-L1,288,54,234,284,45,221,199,87,114,214,71,142
461090VTD-1,171,30,151,169,49,112,151,55,79,151,79,79
461090VTD-2,433,113,347,432,113,300,393,131,269,418,141,265
461090VTD-3,195,59,129,163,62,113,162,106,69,195,109,74
461090VTD-4,92,31,49,93,18,56,67,30,31,67,49,19
461090VTD-8,120,41,69,104,43,61,100,61,39,101,73,30
46109VTD-11,738,270,458,738,342,393,688,411,278,718,423,282
461090VTD-5,408,168,211,408,215,147,341,252,98,348,256,102
461090VTD-9,452,106,326,452,139,280,398,162,228,427,211,211
46109VTD-10,213,112,89,205,122,74,218,155,63,227,164,60
461090VTD13,287,124,164,290,147,126,264,161,99,269,171,97
461110VTD-1,263,42,219,263,42,214,219,60,133,225,67,130
461110VTD-2,328,45,242,328,31,226,322,106,184,325,110,171
461110VTD-4,298,82,201,294,55,200,253,88,153,262,92,153
461110VTD-5,255,47,201,248,66,176,230,85,138,234,96,141
461150VTD-1,399,72,340,394,74,256,385,113,248,392,120,237
461150VTD-3,312,73,251,312,73,247,298,141,190,299,155,172
461150VTD-4,303,43,238,304,63,226,248,91,163,286,100,158
461150VTD-5,208,64,134,207,65,125,206,110,108,209,111,113
461150VTD-6,115,21,83,114,33,82,111,37,61,111,61,39
461150VTD-7,447,116,353,437,122,289,416,203,226,425,211,225
461150VTD-8,141,37,95,141,37,94,140,70,74,141,74,74
461150VTD-9,539,161,376,539,185,289,461,246,213,481,289,177
46115VTD-10,489,165,326,476,197,253,439,214,235,471,256,203
461170VTD-1,1380,282,1096,1389,303,993,1310,771,547,1325,654,649
461170VTD-2,72,5,66,74,8,55,64,18,46,67,17,47
461170VTD-3,97,8,90,97,8,80,90,49,43,91,26,65
46121VTD-BO,57,37,18,58,42,10,63,53,8,63,56,6
46121VTD-JE,75,10,60,79,5,73,76,14,56,79,16,55
46121VTD-LA,104,4,98,105,5,94,100,21,76,106,21,78
46121VTD-OK,114,71,46,114,71,44,106,71,33,108,75,34
46121VTD-PA,260,195,56,257,215,13,263,234,20,273,251,13
46121VTD-RO,410,306,107,410,339,46,430,382,51,455,413,39
