GEOID10,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen
050976,158,61,88,120.2,19.9,86.4,105.3,24.8,78.5
050977,72,29,39,28.6,3.8,23.5,27.9,3.1,24.7
050978,383,103,271,498.6,129.3,344.9,491.1,162.1,314.0
050979,342,94,239,289.8,49.4,224.5,285.8,66.3,207.7
0509710,106,29,74,97.0,22.0,73.0,93.0,24.0,64.0
0509711,231,60,153,173.0,25.0,143.0,171.0,33.0,128.0
0509712,161,58,94,150.0,31.0,105.0,145.0,39.0,100.0
0509713,211,65,134,167.0,37.0,126.0,166.0,57.0,106.0
0509714,106,23,79,85.0,19.0,64.0,84.0,23.0,58.0
0509715,228,91,122,465.4,103.7,336.2,452.9,146.7,292.2
0509716,65,26,35,101.0,27.2,68.5,99.3,34.9,60.6
0509717,111,44,60,170.6,45.9,115.7,167.6,58.9,102.3
0509718,46,18,25,70.4,18.9,47.7,69.1,24.3,42.2
050991,159,41,114,193.3,36.0,152.1,189.0,48.6,135.5
050992,196,42,148,200.2,37.3,157.5,195.8,50.3,140.4
050993,356,191,155,397.1,218.4,165.5,377.7,191.5,164.6
050994,165,89,72,184.5,101.5,76.9,175.5,89.0,76.5
050995,154,83,67,171.6,94.4,71.5,163.2,82.8,71.1
050996,185,100,80,206.8,113.7,86.2,196.7,99.7,85.7
050997,232,50,175,235.6,43.9,185.4,230.4,59.2,165.2
050998,208,72,133,169.1,50.3,112.5,160.0,46.8,107.6
050999,90,31,57,72.9,21.7,48.5,69.0,20.2,46.4
0509910,213,39,170,188.5,30.7,153.4,184.1,32.4,148.1
0509911,146,39,104,95.4,15.7,77.5,91.4,16.4,72.2
0509912,73,10,62,51.6,8.5,41.9,49.4,8.9,39.1
0509913,181,26,153,126.5,20.8,102.7,121.2,21.8,95.8
0509914,147,58,82,109.5,18.0,88.9,104.9,18.9,82.9
0509915,89,42,44,61.8,25.7,35.5,58.0,20.7,34.3
0509916,214,100,106,147.2,61.3,84.5,138.0,49.3,81.7
0509917,46,41,5,34.1,21.6,12.5,33.5,21.0,12.2
0509918,146,96,42,90.0,66.0,23.0,90.0,55.0,31.0
0509919,99,65,29,57.6,36.4,21.1,56.7,35.5,20.7
0509920,54,18,32,28.2,2.6,24.0,28.2,6.8,18.8
